10210896930001001832784850075 NUNES SORVETES LTDA                Conselheiro Lafaiete          MG00000000002020090120200930331
11Rua Frei Eustáquio               00010                      LOURDES        36408018A SANTIAGO LACERDA GUIMARAES003137638559
5016583239000171ISENTO        20200911MG559210019421101P000000000529200000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200910MG553  2112291102P000000005464600000000243380000000004381000000000000000000000000001800N
5016583239000171ISENTO        20200928MG551  1263651405P000000019454400000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200924MG551  4899221102P000000009362100000000025860000000000465000000001193800000000000000000N
5016583239000171ISENTO        20200925MG551  0076251405P000000000549800000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200925MG551  0076251102P000000000409400000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200930MG552  2403611405P000000011503600000000000000000000000000000000004075900000000000000000N
5016583239000171ISENTO        20200930MG552  2403611102P000000002677800000000267780000000004820000000004075900000000000001800N
5016583239000171ISENTO        20200930MG552  2403621910P000000000446400000000044640000000000804000000000000000000000000001800N
5016583239000171ISENTO        20200928MG551  1345711910P000000000597600000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200928MG551  1345721405P000000012335700000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200915MG551  0492751401P000000032735800000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200908MG551  1483791405P000000017289900000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200918MG552  1248451102P000000004784600000000478460000000008612000000000000000000000000001800N
5016583239000171ISENTO        20200904MG551  6883131401P000000005694000000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200904MG551  6883501910P000000001138800000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200911MG551  6930211401P000000022671500000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200911MG551  6930341910P000000004534300000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200911MG551  0343871910P000000000010000000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200925MG551  0346471102P000000002610000000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200913MG551  8236571102P000000005376800000000475330000000008557000000000000000000000007990000N
5016583239000171ISENTO        20200928MG551  9073761102P000000009559600000000256910000000004625000000000000000000000007991800N
5016583239000171ISENTO        20200912MG551  7208281102P000000016728400000001672840000000030112000000000000000000000000001800N
5016583239000171ISENTO        20200912MG551  7208281405P000000002838000000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200912MG551  7208291910P000000001430400000000143040000000002574000000000000000000000000001800N
5016583239000171ISENTO        20200912MG551  7208301102P000000040422800000004042280000000072762000000000000000000000000001800N
5016583239000171ISENTO        20200926MG551  7265051102P000000010263500000000990000000000017820000000000000000000000000001800N
5016583239000171ISENTO        20200926MG551  7265051910P000000000840000000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200914MG551  1517881405P000000002260400000000000000000000000000000000001846000000000000000000N
5016583239000171ISENTO        20200914MG551  1517881102P000000002360600000000236060000000004249000000001846000000000000001800N
5016583239000171ISENTO        20200925MG551  1529221102P000000003030900000000303090000000005456000000001394400000000000001800N
5016583239000171ISENTO        20200925MG551  1529221405P000000001233800000000000000000000000000000000001394400000000000000000N
5016583239000171ISENTO        20200902MG551  0163991102P000000005850000000000585000000000010530000000000245700000000000001800N
5016583239000171ISENTO        20200916MG551  0165531102P000000017400000000000000000000000000000000000003862800000000000000000N
5016583239000171ISENTO        20200911MG550  7386571102P000000009354400000000553230000000009959000000000000000000000000001800N
5016583239000171ISENTO        20200928MG550  7689321102P000000011309700000000479230000000008625000000000000000000000000000000N
5016583239000171ISENTO        20200915MG551  0552161102P000000004858700000000485870000000008749000000000000000000000000001800N
5016583239000171ISENTO        20200915MG551  0552161405P000000005202800000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200928MG551  0556171405P000000000474700000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200928MG551  0556171102P000000004543600000000454360000000008181000000000000000000000000001800N
5016583239000171ISENTO        20200909MG551  0453281910P000000002159800000000000000000000000000000000000522700000000000000000N
5016583239000171ISENTO        20200909MG551  0453321910P000000010799000000000000000000000000000000000002613400000000000000000N
5016583239000171ISENTO        20200909MG551  0453531405P000000010799000000000000000000000000000000000002613400000000000000000N
5016583239000171ISENTO        20200909MG551  0180601102P000000003181300000000318130000000005726000000000809600000000000001800N
5016583239000171ISENTO        20200909MG551  0180611910P000000000138700000000013870000000000250000000000035300000000000001800N
5016583239000171ISENTO        20200911MG551  2796521405P000000001447300000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200911MG551  2796521102P000000009761000000000857480000000015434000000000000000000000000000000N
5016583239000171ISENTO        20200903MG550  0382691403P000000009795000000000000000000000000000000000000000000000000005400000N
5016583239000171ISENTO        20200911MG550  0721811102P000000006446400000000532750000000009590000000000000000000000005401800N
5016583239000171ISENTO        20200911MG550  0721821403P000000000525600000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200911MG551  2810311102P000000008568500000000793170000000014276000000000000000000000000001800N
5016583239000171ISENTO        20200911MG551  2810311403P000000002235300000000000000000000000000000000000000000000000000000000N
5016583239000171ISENTO        20200918MG551  2213112101P000000029163100000002916310000000034996000000000000000000000000001200N
5005859105000114ISENTO        20200911MG551  1709551102P000000097622200000009762220000000175721000000000000000000000000001800N
5005859105000114ISENTO        20200928MG551  1263671405P000000026139400000000000000000000000000000000000000000000000000000000N
5005859105000114ISENTO        20200930MG552  2403601405P000000017274500000000000000000000000000000000005311900000000000000000N
5005859105000114ISENTO        20200915MG551  0492731401P000000028648000000000000000000000000000000000000000000000000000000000N
5005859105000114ISENTO        20200903MG552  1235191102P000000001586000000000158600000000002854000000000000000000000000001800N
5005859105000114ISENTO        20200903MG552  1235191405P000000000599000000000000000000000000000000000000000000000000000000000N
5005859105000114ISENTO        20200916MG552  1246351102P000000007753600000000775360000000013956000000000000000000000000001800N
5005859105000114ISENTO        20200916MG552  1246351405P000000000464800000000000000000000000000000000000000000000000000000000N
5005859105000114ISENTO        20200928MG551  9073931102P000000007664300000000621990000000011196000000000000000000000007991800N
5005859105000114ISENTO        20200914MG551  1517871405P000000004969200000000000000000000000000000000003659600000000000000000N
5005859105000114ISENTO        20200914MG551  1517871102P000000003396000000000339600000000006112000000003659600000000000001800N
5005859105000114ISENTO        20200916MG551  0165581102P000000011600000000001160000000000020880000000002575200000000000001800N
5005859105000114ISENTO        20200915MG551  0552151405P000000000396000000000000000000000000000000000000000000000000000000000N
